rank,name,floor,_24h_vol,total_vol,owners,items
322,Relics of a mortal past by Billelis,-,0.0,0,15,61
323,Synthetic Dreams,4.8,0.0,13,546,1.000
324,GenerativeDungeon,0.278,0.0,39,720,3.000
325,547xFRENs,-,0.0,0,24,59
326,Gutter Mint Passes,1.25,0.0,1,68,6.000
327,MAX PAIN AND FRENS RANKED AUCTIONS BY XCOPY,21,0.0,0,31,42
328,Vogu,0.07,0.0,42,"2,761",7.777
329,Property's NFT,0.02,0.0,4,"2,055",6.000
330,The KittyButts,0.005,0.0,0,"2,800",9.999
331,Animetas,0.0857,0.0,57,"3,896",10.101
332,Surrogates,1,0.0,0,98,154
333,SkuxxVerse Pass,0.0148,0.0,69,"2,511",7.777
334,Crypto Chicks,0.16,0.0,470,"4,395",10.000
335,8SIAN MAIN COLLECTION,0.045,0.0,30,"4,350",8.888
336,Spirit Gates,0.2657,0.0,3,"1,076",3.623
337,DEGEN TOONZ,0.7,0.0,559,"3,831",8.888
338,CREYZIES,0.1,0.0,335,"4,881",9.966
339,Trippy Toadz,0.222,0.0,14,"2,834",6.969
340,Dead Army Skeleton Klub,0.12,0.0,4,"1,695",6.969
341,Wilder Beasts: Wolf,1.425,0.0,53,"1,329",3.333
342,MetaDoge,-,0.0,0,"1,234",2.364
343,CryptoMories,0.24,0.0,636,"5,089",10.000
344,Half-Skull Of WZRD,-,0.0,0,298,1
345,Cool Cats,2.398,0.0,5.927,"5,562",9.960
346,RELI3F UKR,-,0.0,0,"4,042",37
347,FLUF World: Thingies,0.5,0.0,91,"2,976",9.581
348,Tasty Bones,0.0756,0.0,128,"3,192",5.049
349,GPS Satellite Constellation,-,0.0,0,116,131
350,Treeverse,0.91,0.0,530,"3,392",10.420
351,Doomsday Garden,0.1,0.0,1,566,3.493
352,Plug Pass,-,0.0,11,794,1
353,Ey3k0n,0.06,0.0,18,"2,021",10.000
354,Outkast,0.0189,0.0,3,"2,626",10.000
355,Ethernity Metaverse: Wearable Black Sneakers,-,0.0,0,35,50
356,Rebels In Disguise : Generative Collection,-,0.0,0,336,702
357,GEN.ART Membership,0.13,0.0,12,"2,382",5.100
358,Cryptoadz by GREMPLIN,1.4388,0.0,1.429,"4,083",7.025
359,Polymorphs,0.22,0.0,24,"1,835",10.000
360,MINDDS,-,0.0,0,374,290
361,Sneaky's Internet Friends,0.1979,0.0,29,785,2.000
362,Wassies by Wassies,0.7,0.0,202,"2,445",12.344
363,Mafriends x Wizards Portals,-,0.0,1,36,52
364,Frenetik Void Open Edition,-,0.0,0,35,102
365,Chubbies,0.1,0.0,5,"3,277",9.997
366,Cyber Gorillas,0.089,0.0,6,502,3.333
367,Its Not What It Looks Like,-,0.0,0,"1,137",3.000
368,dcl://dappcraft_moonminer,-,0.0,0,125,354
369,CopeBears,0.07,0.0,3,"1,887",8.000
370,Deep Space,0.01,0.0,0,832,3.806
371,Twin Tigers Jacket,0.149,0.0,19,"5,115",2
372,Koripo by Rich Poole,0.4977,0.0,6,538,999
373,Superlative Apes,0.0277,0.0,20,"2,221",4.444
374,MoonCatLootprint,0.45,0.0,1,"2,264",11.715
375,Bored Ape Comic,0.06,0.0,0,"2,691",9.998
376,Whales Game,-,0.0,0,"3,683",31.983
377,Relics Pass,-,0.0,32,737,1.000
378,PEGZ,45.9184,0.0,14,57,103
379,Lamb Duhs,0.01,0.0,1,"2,662",8.500
380,Cats,0.009,0.0,0,497,10.000
381,AlibabaAndFortyThieves,-,0.0,0,299,2.000
382,Bruce Lee: The Dragon,-,0.0,0,1,1
383,truePengu,-,0.0,0,"4,413",3
384,GAMEBROS,-,0.0,0,85,222
385,3LAND INVENTORY,1,0.0,18,"6,601",12
386,Miningverse,-,0.0,0,239,1.249
387,FrankenPunks,0.068,0.0,21,"4,810",10.000
388,The Squids,-,0.0,1,"1,016",2.000
389,Galz,-,0.0,0,686,3.256
390,TinyPaws,-,0.0,0,"2,399",6.111
391,Genzee,0.1,0.0,11,"2,448",9.991
392,dcl://stay_safe,-,0.0,0,190,631
393,Bobu Token (Azuki #40),0.089,0.0,43,"11,531",1
394,Eggscelland Official,0.01,0.0,0,"1,346",3.333
395,Mutant Garden Seeder,69.69,0.0,4,280,512
396,The Carton,1.45,0.0,17,339,500
397,Loopy Donuts,0.009,0.0,0,"3,934",10.000
398,IDZ,0.48,0.0,0,609,4
399,DISRUPTOR by XCOPY,-,0.0,0,13,20
400,Ape Gang,0.089,0.0,11,"2,472",8.297
401,[UNFORGED] RTFKT x NIKE AR HOODIE  🕊✔️,-,0.0,14,325,1
402,pplpleasr,-,0.0,0,248,276
403,KILLAz,0.0129,0.0,1,"3,912",9.971
404,Nobody .,-,0.0,1,"1,211",3.210
405,Sneaky Vampire Syndicate,0.146,0.0,196,"2,719",8.888
406,Web4Ded,0.01,0.0,0,"2,105",6.666
407,Monaco Planet,0.02,0.0,2,"4,667",9.999
408,Waifus,0.1,0.0,1,"2,212",16.384
409,Argentina: Mystery Box,-,0.0,0,1,1
410,8bitguyz,0.0001,0.0,0,"7,147",10.000
411,Nickelodeon,0.08,0.0,8,"2,168",6.483
412,Ciphersquares,0.5,0.0,0,"1,191",3.623
413,oncyber labs,0.53,0.0,572,"8,916",5
414,POAP,0.0075,0.0,3,"22,180",35.756
415,Bored Ape Chemistry Club,26,0.0,7.027,291,3
416,The Crypto Bear Watch Club,0.254,0.0,0,319,3.010
417,MultiPass,-,0.0,0,"1,390",3.970
418,froyo kittens,0.0673,0.0,65,"3,138",10.000
419,Valhalla,-,0.0,0,"3,316",9.000
420,Gradis,0.1714,0.0,3,"1,115",4.192
421,pale blue death (a color study),0.85,0.0,0,653,15
422,James Dean: 3D Icon Metal Bust,-,0.0,0,7,7
423,Moonbirds,8.2745,0.0,24.080,"6,547",10.000
424,Frontier Game,0.012,0.0,7.454,"6,366",57
425,Dan Marino: Epic,-,0.0,0,264,302
426,888 Inner Circle - Blue Realm,0.03,0.0,4,"2,914",9.437
427,It's nothing,0.008,0.0,12,"3,295",8.888
428,CanineCartel,0.009,0.0,0,"4,353",9.999
429,Space Monkeys NFT,0.0201,0.0,0,"2,521",7.000
430,Monkerunners Official,0.01,0.0,0,"2,269",6.796
431,Phrocks,-,0.0,0,19,100
432,Shapeshifter by JAKE,-,0.0,0,220,8
433,NetvrkLand,0.4082,0.0,38,"2,730",10.393
434,FAKE NEWS by COLDIE,-,0.0,42,25,55
435,Cat Bricks Clubhouse,0.005,0.0,35,"4,041",9.999
436,Boki,0.1133,0.0,602,"3,685",7.777
437,Petabytes,0.0204,0.0,1,"1,212",2.022
438,Theirsverse Official,0.29,0.0,20,"1,372",5.500
439,Eyeverse.world,0.085,0.0,8,941,3.333
440,Dak Prescott: Legendary,-,0.0,0,95,103
441,Ape Harbour Yachts,0.015,0.0,1,"2,467",7.776
442,dcl://cybermike_cybersoldier_set,-,0.0,0,8,60
443,Pixel Foxes,0.01,0.0,0,"3,272",10.000
444,Forgotten Souls,1.5692,0.0,26,387,683
445,RTFKT x RIMOWA WorkerBot 🤖,0.18,0.0,12,"2,076",5
446,Digitals Animals,0.2,0.0,3,"2,935",8.888
447,We are Itsuki,0.015,0.0,0,"2,013",6.666
448,MintdiscThree,-,0.0,1,446,817
449,Cryptowalkers,0.229,0.0,14,"1,972",6.545
450,Nas: It Ain't Hard to Tell,-,0.0,0,9,10
451,TinyCourses,-,0.0,0,7,12
452,CryptoMutts,0.03,0.0,2,"2,288",10.000
453,Metroverse Blackout City Block,0.0296,0.0,44,"2,389",10.000
454,Ethernity Metaverse: Wearable Hoodie,-,0.0,0,53,100
455,MonkeVerse,0.1,0.0,0,"1,512",3.333
456,ASMAIFAAllStarsBoxSet,2,0.0,186,426,10.000
457,DigiDaigaku Genesis Adventure Key Castaways,0.9,0.0,6,"1,120",2.022
458,Genesis Blocks,0.095,0.0,0,"1,096",2.500
459,We All Survived Death,0.055,0.0,6,"2,439",10.000
460,Ghxsts Cxlture,0.5,0.0,2,884,19
461,Factura by Mathias Isaksen,1.5306,0.0,40,520,999
462,gego.dego,0.0045,0.0,0,"26,270",54.090
463,Starlink PixelNauts,0.15,0.0,6,"1,746",9.999
464,Ethernity Metaverse: Wearable T-Shirt,-,0.0,0,59,100
465,Toxic Skulls Club,0.13,0.0,100,"4,445",9.999
466,CryptoPunks V1,6.1,0.0,8.996,881,3.498
467,adidas Originals: Into the Metaverse,0.33,0.0,1.304,"19,764",5
468,Hertz,-,0.0,0,"2,211",8.121
469,Beyond Earth Land,0.05,0.0,11,"1,709",10.000
470,TGLP Genesis,-,0.0,0,992,1.001
