rank,name,floor,_24h_vol,total_vol,owners,items
439,Pixel Foxes,0.01,0.0,0,"3,272",10.000
440,Forgotten Souls,1.5692,0.0,26,387,683
441,RTFKT x RIMOWA WorkerBot 🤖,0.18,0.0,12,"2,076",5
442,Digitals Animals,0.2,0.0,3,"2,935",8.888
443,We are Itsuki,0.015,0.0,0,"2,013",6.666
444,MintdiscThree,-,0.0,1,446,817
445,Cryptowalkers,0.229,0.0,14,"1,972",6.545
446,Nas: It Ain't Hard to Tell,-,0.0,0,9,10
447,TinyCourses,-,0.0,0,7,12
448,CryptoMutts,0.03,0.0,2,"2,288",10.000
449,Metroverse Blackout City Block,0.0296,0.0,44,"2,389",10.000
450,Ethernity Metaverse: Wearable Hoodie,-,0.0,0,53,100
451,MonkeVerse,0.1,0.0,0,"1,512",3.333
452,ASMAIFAAllStarsBoxSet,2,0.0,186,426,10.000
453,DigiDaigaku Genesis Adventure Key Castaways,0.9,0.0,6,"1,120",2.022
454,Genesis Blocks,0.095,0.0,0,"1,096",2.500
455,We All Survived Death,0.055,0.0,6,"2,439",10.000
456,Ghxsts Cxlture,0.5,0.0,2,884,19
457,Factura by Mathias Isaksen,1.5306,0.0,40,520,999
458,gego.dego,0.0045,0.0,0,"26,270",54.090
459,Starlink PixelNauts,0.15,0.0,6,"1,746",9.999
460,Ethernity Metaverse: Wearable T-Shirt,-,0.0,0,59,100
461,Toxic Skulls Club,0.13,0.0,100,"4,446",9.999
462,CryptoPunks V1,6.1,0.0,8.996,881,3.498
463,adidas Originals: Into the Metaverse,0.33,0.0,1.304,"19,764",5
464,Hertz,-,0.0,0,"2,211",8.121
465,Beyond Earth Land,0.05,0.0,11,"1,709",10.000
466,TGLP Genesis,-,0.0,0,992,1.001
467,Pawn Bots,0.098,0.0,5,663,8.888
468,Doodle Labs,0.028,0.0,3,"3,469",12.951
469,Boring One,0.05,0.0,6,"1,430",3.333
470,SlimHoods,0.48,0.0,191,"2,500",5.000
471,MakersPlace,0.015,0.0,0,"4,024",20.261
